,Title,Published_date,Views,Likes,Comments,Month,Year
70,#DataAnalystSalary #DataAnalysis,2023-08-17 12:35:34+00:00,31783,2385,40,Aug,2023
71,How to Work with Recruiters on LinkedIn,2023-08-15 12:00:34+00:00,31161,1636,79,Aug,2023
72,#dataanalysis #dataportfolio,2023-08-14 12:12:00+00:00,21917,1981,23,Aug,2023
73,#wife #careerchange #dataanalysis,2023-08-11 13:13:22+00:00,19341,1835,50,Aug,2023
74,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09 13:11:45+00:00,6581,715,44,Aug,2023
75,Regular Expression Character Classes in Python,2023-08-08 12:00:05+00:00,8325,156,13,Aug,2023
76,#Recruiters #dataanalysis #data,2023-08-03 11:56:30+00:00,15491,1073,24,Aug,2023
77,Regular Expression Metacharacters in Python,2023-08-01 12:00:26+00:00,6383,164,8,Aug,2023
78,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31 13:07:06+00:00,18675,743,41,Jul,2023
79,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28 12:48:19+00:00,43683,2672,40,Jul,2023
80,Regular Expression Methods in Python,2023-07-25 12:00:19+00:00,9100,232,12,Jul,2023
81,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18 12:00:17+00:00,25117,1069,66,Jul,2023
82,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11 12:00:07+00:00,329619,6227,261,Jul,2023
83,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06 17:20:05+00:00,200350,6079,107,Jul,2023
84,Find and Find_All | Web Scraping in Python,2023-07-04 12:00:49+00:00,43898,1246,27,Jul,2023
85,500k Livestream!!,2023-06-28 17:11:25+00:00,6247,385,24,Jun,2023
86,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27 12:00:28+00:00,92503,1869,45,Jun,2023
87,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20 12:00:43+00:00,47794,1289,33,Jun,2023
88,Best Places to Find Datasets for Your Projects,2023-06-13 12:00:16+00:00,91684,2736,62,Jun,2023
89,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06 12:00:14+00:00,104001,2553,155,Jun,2023
90,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30 16:34:20+00:00,10204,366,21,May,2023
91,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29 12:00:07+00:00,193187,4289,131,May,2023
92,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23 12:30:17+00:00,240800,6276,326,May,2023
93,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16 16:18:56+00:00,58155,1889,54,May,2023
